id,episode_id,user_id,played_at
a7f13d10-6c9b-4517-a63a-18d73df8d3e1,e81c3f7d-a555-427c-88be-fca29ea9ef29,4f7826bf-9a4e-4367-bc94-ceb7b322a611,2026-03-16 13:49:59.154438+00
aca226a7-2361-4658-90f5-0ad44ddcafa7,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-16 12:45:26.013392+00
af2bd8e4-85a2-4d99-92ed-804afb77016d,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-30 18:18:28.597162+00
b16599ed-5d93-434a-8621-38a0e6fc7442,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-26 22:06:56.793315+00
b56030a1-73f2-46dc-92ff-86997d5c6ab2,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 19:39:18.909987+00
bae387ea-1726-4e7b-a6bd-cc2c6c1a3614,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-12 11:56:05.886491+00
c11f6143-fdc8-48d7-9954-b6ad4d2e6a1b,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-12 16:59:28.889122+00
d0f1871c-58f4-4c47-bcab-cc03a45794a1,e81c3f7d-a555-427c-88be-fca29ea9ef29,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-19 14:41:49.738034+00
d638ea46-1162-4daf-a6af-6e10c28e6fc4,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-21 23:43:06.567282+00
d949eec9-4308-46db-b6e3-06f1ec488860,74ee5b61-0633-4a0f-8901-f9422ed8d107,d364bb68-e2e4-4752-9ed6-88b53ead0c54,2026-04-02 19:13:19.387425+00
ddc0c80f-8d47-47da-a5b0-e3c3c743378a,74ee5b61-0633-4a0f-8901-f9422ed8d107,a68689c1-dd51-4307-a0ba-730e7f589391,2026-03-23 14:37:17.419648+00
e2801bda-1818-44c3-bad2-0656f44ba058,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-13 08:27:02.932089+00
e46ec54c-1037-408a-af3c-5b77d2c6eca0,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-26 21:21:36.512952+00
e512f84e-6ed4-4c32-a185-32a0d17e17f2,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-10 22:12:52.189942+00
e6769cab-e2c1-4039-b9fa-c56b37bf8bea,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-16 12:42:27.533909+00
ec2d211f-141c-4781-ab38-d6389cd6c9b4,e81c3f7d-a555-427c-88be-fca29ea9ef29,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-26 22:13:09.49104+00
edbbde92-0fa1-453a-a0c2-994d763046d5,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 12:25:45.326037+00
